Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.405135, 149.101108",-35.405135,149.101108,"7-Eleven Erindale, Australian Capital Territory, 76 Gartside Street, Wanniassa 2903, Australia", Wanniassa 2903,GARTSIDE/MCBRYDE INTERSECTION,1171421,31/10/2017,2017,October,17:30,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.316297, 149.142188",-35.316297,149.142188,"Eyre Street Kingston Shops, Australian Capital Territory, Eyre Street, Kingston 2604, Australia", Kingston 2604,EYRE STREET (JARDINE -> HIGHGATE),1171675,06/11/2017,2017,November,09:20,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.3223, 149.098876",-35.3223,149.098876,"Australian Capital Territory, Beauchamp Street, Deakin 2600, Australia", Deakin 2600,BEAUCHAMP STREET (NORMAN -> FULLER),1172023,08/11/2017,2017,November,07:40,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.178893, 149.122127",-35.178893,149.122127,"Australian Capital Territory, Galmarra Street, Ngunnawal 2913, Australia", Ngunnawal 2913,GALMARRA STREET (MILARI -> PAUL COE),1204582,18/03/2019,2019,March,07:45,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.22508, 149.041393",-35.22508,149.041393,"St John the Apostle PS Barnard Court, Australian Capital Territory, Barnard Circuit, Florey 2615, Australia", Florey 2615,BARNARD CIRCUIT (KREFFT -> PAWSEY),1208477,07/06/2019,2019,June,08:30,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.314533, 149.145921",-35.314533,149.145921,"Australian Capital Territory, Printers Way, Kingston 2604, Australia", Kingston 2604,PRINTERS WAY (EYRE -> GILES),1172928,23/11/2017,2017,November,12:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.236188, 149.041874",-35.236188,149.041874,"Australian Capital Territory, Mollison Street, Scullin 2614, Australia", Scullin 2614,MOLLISON STREET (PETRE -> MCINTOSH),1175554,01/01/2018,2018,January,23:15,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.425916, 149.131994",-35.425916,149.131994,"Australian Capital Territory, Hawton Place, Chisholm 2905, Australia", Chisholm 2905,HAWTON/HEAGNEY INTERSECTION,1173135,22/11/2017,2017,November,21:00,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.304403, 149.063315",-35.304403,149.063315,"Australian Capital Territory, Tuggeranong Parkway, District of Molonglo Valley 2605, Australia", District of Molonglo Valley 2605,TUGGERANONG PARKWAY (LADYWTUGGSRM -> TUGGSCOTTERM),1212886,10/08/2019,2019,August,20:30,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.275606, 149.128132",-35.275606,149.128132,"Australian Capital Territory, Barry Drive, Turner 2612, Australia", Turner 2612,BARRY/MOORE INTERSECTION,1174151,08/12/2017,2017,December,08:45,Morning,Struck pedestrian (On Road),Injury,1,1
